0,-1,757,272,11,15,1,-1,-1,-1
0,-1,346,315,20,14,1,-1,-1,-1
0,-1,634,259,15,13,1,-1,-1,-1
0,-1,597,273,21,15,1,-1,-1,-1
0,-1,710,274,20,20,1,-1,-1,-1
0,-1,570,287,23,29,1,-1,-1,-1
0,-1,687,288,25,26,1,-1,-1,-1
1,-1,757,272,11,15,1,-1,-1,-1
1,-1,346,315,20,14,1,-1,-1,-1
1,-1,633,259,16,13,1,-1,-1,-1
1,-1,597,273,20,16,1,-1,-1,-1
1,-1,710,274,20,19,1,-1,-1,-1
1,-1,569,288,25,28,1,-1,-1,-1
1,-1,687,287,24,27,1,-1,-1,-1
2,-1,589,299,19,17,1,-1,-1,-1
2,-1,756,271,12,16,1,-1,-1,-1
2,-1,346,315,20,14,1,-1,-1,-1
2,-1,633,259,15,13,1,-1,-1,-1
2,-1,597,274,20,15,1,-1,-1,-1
2,-1,710,274,19,19,1,-1,-1,-1
2,-1,566,287,24,29,1,-1,-1,-1
2,-1,686,287,25,27,1,-1,-1,-1
3,-1,756,271,12,16,1,-1,-1,-1
3,-1,346,315,20,14,1,-1,-1,-1
3,-1,633,259,16,14,1,-1,-1,-1
3,-1,597,274,20,15,1,-1,-1,-1
3,-1,710,273,19,20,1,-1,-1,-1
3,-1,567,288,26,30,1,-1,-1,-1
3,-1,686,287,24,26,1,-1,-1,-1
4,-1,756,272,12,15,1,-1,-1,-1
4,-1,346,315,20,14,1,-1,-1,-1
4,-1,632,259,17,14,1,-1,-1,-1
4,-1,595,274,19,15,1,-1,-1,-1
4,-1,710,273,19,20,1,-1,-1,-1
4,-1,565,288,27,31,1,-1,-1,-1
4,-1,685,286,25,26,1,-1,-1,-1
5,-1,756,272,12,15,1,-1,-1,-1
5,-1,346,315,20,14,1,-1,-1,-1
5,-1,632,259,18,14,1,-1,-1,-1
5,-1,596,274,18,15,1,-1,-1,-1
5,-1,709,272,20,21,1,-1,-1,-1
5,-1,563,290,26,29,1,-1,-1,-1
5,-1,685,286,24,26,1,-1,-1,-1
6,-1,1000,617,178,101,1,-1,-1,-1
6,-1,756,271,12,16,1,-1,-1,-1
6,-1,346,315,20,13,1,-1,-1,-1
6,-1,632,259,18,14,1,-1,-1,-1
6,-1,595,274,18,16,1,-1,-1,-1
6,-1,710,273,19,19,1,-1,-1,-1
6,-1,562,294,25,26,1,-1,-1,-1
6,-1,685,286,24,26,1,-1,-1,-1
7,-1,983,598,169,118,1,-1,-1,-1
7,-1,756,271,12,16,1,-1,-1,-1
7,-1,346,315,20,13,1,-1,-1,-1
7,-1,632,258,18,16,1,-1,-1,-1
7,-1,596,274,17,15,1,-1,-1,-1
7,-1,709,273,20,19,1,-1,-1,-1
7,-1,561,293,26,27,1,-1,-1,-1
7,-1,685,285,23,26,1,-1,-1,-1
8,-1,968,582,158,116,1,-1,-1,-1
8,-1,756,271,12,16,1,-1,-1,-1
8,-1,346,315,20,13,1,-1,-1,-1
8,-1,632,258,18,16,1,-1,-1,-1
8,-1,595,275,17,14,1,-1,-1,-1
8,-1,709,272,20,20,1,-1,-1,-1
8,-1,560,293,27,28,1,-1,-1,-1
8,-1,685,283,24,28,1,-1,-1,-1
9,-1,955,567,149,107,1,-1,-1,-1
9,-1,756,271,11,16,1,-1,-1,-1
9,-1,346,315,20,13,1,-1,-1,-1
9,-1,631,257,20,17,1,-1,-1,-1
9,-1,595,275,17,14,1,-1,-1,-1
9,-1,708,272,21,19,1,-1,-1,-1
9,-1,560,294,26,27,1,-1,-1,-1
9,-1,685,284,23,26,1,-1,-1,-1
10,-1,942,554,142,105,1,-1,-1,-1
10,-1,756,271,11,16,1,-1,-1,-1
10,-1,346,314,20,15,1,-1,-1,-1
